"ID","mean","RMSE","Lower_Bound","Upper_Bound","CV","PCT_PVT_BELOW_150","PCT_PVT_BELOW_100","ACS_MEDIAN_INC","PCT_EDU_LESS_HS","PCT_EDU_HS","PCT_EDU_MORE_HS","PCT_ENG_NOT_WELL","PCT_HISP","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_NATIVE_A","PCT_OTHER_RACE","PCT_OCP_MGT","PCT_OCP_SER","PCT_OCP_SALE","PCT_OCP_NAT_RS_MANT","PCT_OCP_PROD","PCT_OCP_MILITARY","PCT_MALE_16UP","PCT_LAB_EMP","PCT_LAB_UNEMP","PCT_NOT_LAB","PCT_owner_OCP","PCT_foreign_5","PCT_foreign_6_20","PCT_foreign_LS_20","PCT_foreign_MO_21","PCT_NO_HLTH_INS","ADJ_GRS_IINCOME","SNAP","Pct_Eligible_for_Medicaid","abe_rate","ase_rate","esl_rate"
"C40115",0.3745922,0.0361417953141308,0.3030675,0.4485,0.096483042930768,0.371864988,0.225138345,37139,0.161566178,0.361950517,0.476483305,0.170448549,0.052370246,0.688183124,0.008962588,0.007120105,0.134876023,0.006557991,0.270844859,0.220026871,0.217734925,0.124002213,0.167391133,0,0.483679409,0.497631773,0.042106635,0.212054056,0.592331768,0.102526003,0.576523031,0.679049034,0.320950966,0.175473112,61758.25,0.191120013,24.89,0.623960981,0.081953699,0.29408532
"C40117",0.3805351,0.0339955617133503,0.3133975,0.44713,0.0893362050264227,0.273502162,0.145768993,45902,0.124365256,0.430111359,0.445523385,0.132307692,0.027183167,0.797981027,0.011007054,0.003405497,0.11347604,0.000972999,0.290653205,0.153893223,0.21049411,0.138289735,0.206669726,0,0.490882954,0.499337858,0.029382553,0.226204271,0.612999096,0.245,0.365,0.61,0.39,0.160970567,39332.375,0.114940686,19.41,0.623960981,0.081953699,0.29408532
"C40119",0.5364234,0.0426024196331452,0.4529925,0.6181075,0.0794193907893378,0.371532806,0.263771304,38085,0.088162271,0.264018363,0.647819366,0.078815081,0.04466374,0.807937163,0.036921692,0.043112829,0.050379598,0.000762948,0.393240298,0.180994707,0.235995131,0.094941546,0.094601863,0.000226456,0.510938952,0.557059272,0.03167981,0.258780633,0.422788563,0.497296253,0.359405176,0.856701429,0.143298571,0.125198554,214243,0.106484551,19.45,0.623960981,0.081953699,0.29408532
"C4012",0.2590478,0.0356111160558996,0.187695,0.3327075,0.137469285807096,0.373673988,0.211315305,36321,0.248422149,0.364434901,0.38714295,0.283755274,0.261820331,0.752265563,0.003792356,0.007289204,0.13214145,0.002364066,0.259460323,0.234392464,0.207248922,0.19910586,0.099792432,0,0.507575321,0.324094469,0.038117964,0.189855605,0.424109893,0.203984409,0.432654829,0.636639238,0.363360762,0.121256895,29061.75,0.164361181,14.61,0.54237037,0.067925926,0.389703704
"C40121",0.3986288,0.0324561981038346,0.3323775,0.4655125,0.0814196016540566,0.290417333,0.175063446,43601,0.139100279,0.364672639,0.496227082,0.127523911,0.046121452,0.722196089,0.033779092,0.005017584,0.084694129,0.000447999,0.286263155,0.19215992,0.236984242,0.130463834,0.153293613,0.000835236,0.507637587,0.491326742,0.0284175,0.238973418,0.56139738,0.096597146,0.702524698,0.799121844,0.200878156,0.17189705,106770.375,0.154331676,22.97,0.623960981,0.081953699,0.29408532
"C40123",0.4435297,0.032007948335791,0.3827975,0.509305,0.0721664148664475,0.273918492,0.181459083,44041,0.115030925,0.339314779,0.545654297,0.145496536,0.04883155,0.706487321,0.021092298,0.009263863,0.076623139,0.000157015,0.330119642,0.18143803,0.254791497,0.122778488,0.110872343,0,0.482911164,0.561318381,0.034936381,0.188447991,0.561442325,0.149646107,0.608695652,0.758341759,0.241658241,0.179336875,105024.5,0.145230769,22.7,0.623960981,0.081953699,0.29408532
"C40125",0.4149139,0.0323750388405934,0.3525925,0.4807025,0.0780283303128514,0.289212588,0.181294372,44351,0.134676542,0.354662455,0.510661004,0.180866426,0.047546505,0.76107951,0.030663443,0.006401029,0.138334894,0.000223617,0.310744662,0.192917896,0.23659087,0.119597292,0.138621767,0.001527513,0.468858889,0.507259476,0.03467241,0.241745351,0.599095603,0.171758877,0.503715937,0.675474814,0.324525186,0.155385669,171853.625,0.178078495,23.09,0.623960981,0.081953699,0.29408532
"C40127",0.3352577,0.0361007773716417,0.2621975,0.40991,0.107680680776733,0.354494945,0.219874306,33784,0.178318136,0.391464032,0.430217832,0.21875,0.032020809,0.750650283,0.009866356,0.003946542,0.122701588,0.000358777,0.307257073,0.179335793,0.190651907,0.185239852,0.137515375,0,0.484635645,0.445997158,0.041094268,0.223117006,0.57883546,0.014388489,0.669064748,0.683453237,0.316546763,0.197685891,20806.625,0.203222342,28.37,0.623960981,0.081953699,0.29408532
"C40129",0.4349696,0.0363355725105532,0.3579675,0.5070175,0.0835358896588479,0.223779995,0.127527636,48462,0.081091931,0.384584504,0.534323565,0.049180328,0.064844587,0.910771704,0.001071811,0.000267953,0.015541265,0,0.296209913,0.134110787,0.274052478,0.15451895,0.141107872,0,0.489907629,0.571214953,0.009719626,0.162616822,0.505783386,0,0.657894737,0.657894737,0.342105263,0.113344051,17917.5,0.046827795,8.46,0.623960981,0.081953699,0.29408532
"C4013",0.4552353,0.0278505694399258,0.3998975,0.5117075,0.0611784047500837,0.259424962,0.165168655,55676,0.130519269,0.229426997,0.640053734,0.204492884,0.302868328,0.786098198,0.052846132,0.038418031,0.018867818,0.002060633,0.368880722,0.182800113,0.267845766,0.084601566,0.09491317,0.000958664,0.490299732,0.581740219,0.038180988,0.187380204,0.526519687,0.116391793,0.560592877,0.67698467,0.32301533,0.136072724,13738114.5,0.116793102,8.7,0.54237037,0.067925926,0.389703704
"C40131",0.4933404,0.032672830328603,0.4319975,0.5547275,0.0662277614576123,0.180454694,0.093705883,59828,0.08713693,0.329105876,0.583757195,0.190179056,0.04200289,0.750683561,0.010047794,0.009503168,0.118072691,0.000111148,0.343169683,0.149884232,0.247696451,0.114988423,0.143765062,0.000496149,0.493879081,0.591051338,0.030195246,0.166745539,0.723147412,0.111590038,0.525862069,0.637452107,0.362547893,0.119495387,316513.625,0.092106047,15.7,0.623960981,0.081953699,0.29408532
"C40133",0.371583,0.0332671079517212,0.304495,0.4398075,0.0895280676234413,0.364016058,0.227687442,36870,0.162025621,0.357851687,0.480122692,0.087652439,0.045427705,0.683501949,0.048498209,0.002125733,0.202259576,0.000354289,0.262814944,0.186685491,0.229908775,0.136728931,0.183861859,0,0.481673307,0.460922064,0.036553238,0.262458836,0.554116638,0.104347826,0.582608696,0.686956522,0.313043478,0.209187891,52726.625,0.203776468,28.25,0.623960981,0.081953699,0.29408532
"C40135",0.3434947,0.0342362746865721,0.274295,0.4120425,0.0996704597962416,0.390584711,0.249429042,36301,0.18456986,0.383756997,0.431673143,0.135117057,0.037466138,0.650033862,0.019978715,0.006627322,0.186992067,0.000725619,0.279469165,0.217733542,0.209601874,0.120673953,0.171870934,0.000650533,0.490569438,0.470725227,0.040968282,0.257355594,0.583028762,0.226331361,0.468934911,0.695266272,0.304733728,0.22000774,79954.625,0.20307752,29.85,0.623960981,0.081953699,0.29408532
"C40137",0.3825109,0.0324407492731503,0.321695,0.4480225,0.0848099995925615,0.275575827,0.155028506,43493,0.131318104,0.399763687,0.468918209,0.18925942,0.070018597,0.840223163,0.020994376,0.006027201,0.052967668,0.000291277,0.266438431,0.16987284,0.251820454,0.144332138,0.165416803,0.002119335,0.482709537,0.507211247,0.034723064,0.214973943,0.599584461,0.147134303,0.5106929,0.657827203,0.342172797,0.148551455,150214.5,0.12911508,16.3,0.623960981,0.081953699,0.29408532
"C40139",0.2807713,0.0386236398059771,0.2048975,0.3519175,0.137562634806254,0.28239836,0.134121348,51503,0.282733318,0.295115799,0.422150883,0.348887683,0.450393042,0.624680218,0.031582864,0.026884971,0.0067445,0,0.254762761,0.156991373,0.179726815,0.148364486,0.260154565,0,0.533491081,0.6820061,0.016875635,0.144628939,0.549053146,0.067519685,0.677952756,0.745472441,0.254527559,0.162147077,58897.125,0.086956522,13.41,0.623960981,0.081953699,0.29408532
"C40141",0.2911646,0.0314056868099394,0.229895,0.3579025,0.107862311592616,0.34000276,0.218159238,37880,0.222892739,0.362857699,0.414249562,0.213886672,0.253448956,0.703455525,0.085665484,0.002627776,0.022730259,0.000525555,0.29821718,0.201296596,0.163047002,0.178930308,0.157536467,0.000972447,0.516262176,0.511503478,0.023363653,0.215980025,0.577684315,0.225419664,0.537170264,0.762589928,0.237410072,0.158323479,14577.75,0.208293764,26.72,0.623960981,0.081953699,0.29408532
"C40143",0.4959314,0.0289583006617657,0.439195,0.5525175,0.0583917466443255,0.257963957,0.159225895,50654,0.111654446,0.258396184,0.629949371,0.241915833,0.118209402,0.705771304,0.099351723,0.028500071,0.046565464,0.00075418,0.366295116,0.165211131,0.257473234,0.091968774,0.118631752,0.000419994,0.480966025,0.609304057,0.037043075,0.172876494,0.530179163,0.172444344,0.607551509,0.779995853,0.220004147,0.155605623,2572952,0.128535314,18.88,0.623960981,0.081953699,0.29408532
"C40145",0.4522478,0.0322672861101288,0.38919,0.514405,0.0713486856323653,0.208635469,0.108385836,57590,0.104022436,0.347800506,0.548177058,0.160098522,0.054731592,0.75839349,0.035542722,0.013138207,0.082583016,0.000472503,0.323843212,0.14675179,0.263825382,0.122767665,0.142409341,0.000402611,0.489631451,0.577921607,0.03368505,0.183690489,0.716054184,0.077647059,0.585490196,0.663137255,0.336862745,0.131631448,229413.875,0.113128341,19.26,0.623960981,0.081953699,0.29408532
"C40147",0.4697053,0.0325054864378086,0.4057675,0.532725,0.069204001823715,0.242275654,0.144246864,50038,0.092444795,0.350968724,0.55658648,0.082585278,0.056501966,0.782182225,0.024801511,0.019116627,0.100053958,5.78124e-05,0.360361546,0.180246589,0.240050897,0.102364969,0.116975999,0,0.477896652,0.538972496,0.024961079,0.188064349,0.617429212,0.28691197,0.519329297,0.806241267,0.193758733,0.149888229,183954.25,0.111532917,15.51,0.623960981,0.081953699,0.29408532
"C40149",0.3776956,0.0338880693147586,0.31279,0.4409825,0.0897232303335241,0.255298481,0.159219357,48715,0.119457014,0.409437621,0.471105365,0.241758242,0.094701531,0.915018063,0.000774127,0.00146224,0.009031481,0,0.316560116,0.145184574,0.226850897,0.143947206,0.167457208,0,0.4965434,0.52965698,0.014173416,0.227251072,0.599853426,0.063897764,0.539936102,0.603833866,0.396166134,0.107431619,33800.625,0.085481384,16.78,0.623960981,0.081953699,0.29408532
"C4015",0.3422606,0.0346466722722333,0.27249,0.408425,0.101228924019397,0.322128652,0.193237405,39856,0.161458505,0.359886511,0.478654984,0.185640979,0.157084698,0.895722122,0.010312873,0.012527685,0.021273984,0.001370139,0.244984403,0.257095235,0.272264359,0.10624503,0.119212184,0.000198789,0.502997797,0.366208844,0.047679067,0.247928676,0.486889191,0.060390388,0.414769925,0.475160313,0.524839687,0.135349091,399843,0.171367704,10.45,0.54237037,0.067925926,0.389703704
"C40151",0.4490113,0.0308732641738892,0.388675,0.5123,0.0687583233960687,0.200699976,0.127805938,57079,0.121477332,0.333625066,0.544897602,0.06626506,0.063342466,0.893369863,0.027068493,0.008547945,0.008876712,0,0.268890402,0.234853642,0.230088496,0.139096891,0.12707057,0,0.540785097,0.567826087,0.014492754,0.20173913,0.514484617,0.128755365,0.56223176,0.690987125,0.309012876,0.111780822,43542.5,0.093516582,9.73,0.623960981,0.081953699,0.29408532
"C40153",0.405345,0.0323252777030388,0.3393675,0.4678,0.07974756738837,0.20858621,0.127748483,58569,0.12572338,0.382233796,0.492042824,0.222839506,0.118847994,0.902988963,0.007152669,0.001278954,0.012884278,0.000284212,0.272562793,0.150170285,0.206151554,0.193593018,0.176670924,0.000851426,0.535818006,0.561033797,0.018687873,0.225778661,0.585535155,0.18202765,0.48156682,0.66359447,0.33640553,0.088484676,81261.125,0.107245583,13.58,0.623960981,0.081953699,0.29408532
"C4017",0.361876,0.0416488411599887,0.2767675,0.442335,0.115091471001085,0.44990482,0.299036832,36868,0.184940865,0.303445236,0.511613899,0.113950128,0.110499127,0.476984354,0.008363445,0.006090066,0.439880232,0.000924138,0.291789181,0.252489804,0.222896709,0.113408581,0.119131177,0.000284549,0.498702391,0.391007847,0.085397427,0.296095126,0.41345519,0.159797083,0.411857958,0.571655041,0.428344959,0.164126829,189016.875,0.267351129,26.86,0.54237037,0.067925926,0.389703704
"C4019",0.4543679,0.0325549413114783,0.3912825,0.5181225,0.0716488583623057,0.299141499,0.190856657,46764,0.122522376,0.22594485,0.651532774,0.146678458,0.361059782,0.773167168,0.035219438,0.027206186,0.032433736,0.001478066,0.35595305,0.217611981,0.247647534,0.089832813,0.084051388,0.004903234,0.48800672,0.517774152,0.046846809,0.191630816,0.537675122,0.121816707,0.468018383,0.589835091,0.410164909,0.120617379,2948755.5,0.147290018,8.74,0.54237037,0.067925926,0.389703704
"C4021",0.3948012,0.0319641800671841,0.33209,0.45891,0.0809627226745614,0.266305193,0.164727903,51190,0.150832419,0.292021229,0.557146352,0.173162309,0.291928653,0.799763081,0.045832034,0.017540065,0.052537198,0.003458215,0.302342384,0.223039464,0.245350635,0.109229369,0.119322862,0.000715287,0.525473573,0.439346833,0.042461326,0.269316633,0.569805653,0.171672398,0.446516367,0.618188766,0.381811234,0.109357552,796291,0.124310976,12.43,0.54237037,0.067925926,0.389703704
