ID,Total Population,% Male,% Female,% Hispanic,% White,% Black,% Asian,% Native Americans,% Hawaiian/Pacific Islander,% Other,% Less Than High School,% High School/GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,% Below 100 Poverty,% Below 150 Poverty,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management/Professional Occupation,% Service Occupation,% Sales/Office Occupation,% Natural Resources/Construction/Maitanance Occupation,% Military Occupation,% Production/Transportation/Moving Occupation,% No Health Insurance
39021,39005,0.499,0.501,0.015,0.945,0.016,0.005,0.001,0.001,0.033,0.103,0.469,0.427,0.123,0.152,0.203,0.355,0.348,0.111,0.199,0.119,54495.000,0.546,0.045,0.195,0.245,0.160,0.212,0.097,0.000,0.287,0.061
39023,135520,0.484,0.516,0.032,0.866,0.082,0.006,0.002,0.001,0.044,0.128,0.369,0.503,0.165,0.129,0.379,0.509,0.255,0.166,0.280,0.190,46275.000,0.521,0.045,0.204,0.290,0.185,0.232,0.085,0.001,0.207,0.073
39025,202166,0.494,0.506,0.018,0.954,0.014,0.012,0.002,0.000,0.018,0.101,0.325,0.574,0.075,0.153,0.376,0.529,0.251,0.098,0.171,0.094,64183.000,0.592,0.028,0.194,0.365,0.157,0.255,0.091,0.000,0.132,0.059
39027,41869,0.495,0.505,0.016,0.942,0.022,0.004,0.001,0.000,0.031,0.113,0.411,0.476,0.055,0.239,0.186,0.424,0.247,0.147,0.243,0.151,49997.000,0.555,0.039,0.205,0.280,0.164,0.244,0.103,0.000,0.208,0.074
39029,104584,0.503,0.497,0.016,0.950,0.022,0.002,0.002,0.000,0.024,0.125,0.452,0.423,0.126,0.097,0.256,0.353,0.304,0.154,0.264,0.157,45498.000,0.500,0.042,0.228,0.259,0.179,0.226,0.108,0.000,0.228,0.087
39031,36602,0.497,0.503,0.010,0.968,0.011,0.003,0.002,0.000,0.015,0.145,0.489,0.366,0.079,0.104,0.331,0.436,0.304,0.150,0.285,0.172,43251.000,0.512,0.039,0.219,0.224,0.183,0.197,0.131,0.002,0.263,0.129
39033,42231,0.488,0.512,0.015,0.969,0.009,0.004,0.001,0.000,0.018,0.104,0.451,0.445,0.163,0.212,0.293,0.504,0.196,0.162,0.273,0.156,41726.000,0.522,0.036,0.194,0.275,0.190,0.202,0.079,0.003,0.251,0.073
39035,1257401,0.476,0.524,0.056,0.630,0.296,0.028,0.003,0.000,0.043,0.109,0.282,0.608,0.163,0.155,0.350,0.505,0.293,0.183,0.275,0.182,46720.000,0.541,0.055,0.195,0.397,0.181,0.240,0.054,0.000,0.127,0.070
39037,51919,0.492,0.508,0.015,0.975,0.008,0.003,0.002,0.000,0.012,0.105,0.480,0.416,0.091,0.158,0.391,0.549,0.236,0.116,0.228,0.092,50064.000,0.567,0.032,0.164,0.252,0.149,0.209,0.118,0.001,0.270,0.066
39039,38311,0.495,0.505,0.096,0.910,0.019,0.004,0.004,0.000,0.063,0.093,0.447,0.460,0.159,0.201,0.259,0.460,0.273,0.110,0.186,0.112,55295.000,0.584,0.032,0.169,0.256,0.161,0.229,0.094,0.000,0.260,0.069
