"mean","CI.lower","CI.upper","RMSE","CV","ID"
237.601698040262,228.81438018786,246.553110583709,4.51162830468677,0.0189881989139752,"C1057"
243.716305947558,236.191186409704,251.222176721791,3.84216191028695,0.0157648947424703,"C1093"
267.638349141906,258.626955210938,276.695270394059,4.56511724666151,0.0170570370849247,"C2020"
263.962675648437,256.167550981318,272.470745058396,4.1736988310108,0.0158117007291198,"C2170"
250.754839916468,243.175145645279,258.280485273531,3.89800240219918,0.0155450734410458,"C4013"
253.608321154369,246.073499331194,260.814701461472,3.77351592622031,0.0148793064401203,"C5007"
255.438469099526,247.332953235901,263.978786748905,4.22890969017419,0.0165554926205202,"C5045"
258.080801854689,249.241908947618,266.345837943082,4.37222702388307,0.0169413105990923,"C6001"
224.046085148686,216.104121474301,232.235886006396,4.05173131224443,0.0180843655873547,"C6029"
234.763535923191,228.171985641984,241.319566939496,3.32065369639703,0.0141446740582552,"C6037"
252.068376350576,244.188230983799,259.347630520054,3.87184336749636,0.0153602900274623,"C6059"
231.046973183041,222.418522459045,239.561367327148,4.28057661940136,0.0185268673310435,"C6065"
248.980132370416,240.934949726649,256.616851846141,3.93164728969717,0.0157910081108316,"C6067"
253.154156264507,244.806400540245,261.819599788594,4.20339214470192,0.0166040811129722,"C6073"
230.636406443293,221.085252497499,239.449345412324,4.59651835377001,0.0199297171884273,"C6077"
264.065845557778,254.948037109175,272.747572560223,4.56407138970399,0.0172838383550264,"C6081"
242.920857068208,235.234987967852,250.712090274311,3.91524067595286,0.0161173508244849,"C6083"
264.69372484104,256.630458067696,272.753152895365,4.07184424130872,0.0153832292161593,"C6085"
261.334418538299,252.911319811944,269.892949343792,4.29954133260288,0.0164522582086629,"C8005"
284.981013763631,275.776476850459,293.65614271277,4.451192157273,0.0156192586252953,"C8035"
271.205397076957,263.36478445098,279.374608252452,4.03546670725264,0.0148797433633208,"C8069"
256.851497677891,247.33633295252,266.910764989759,4.92058368047818,0.0191573096710105,"C9003"
267.221781069633,260.321165118028,274.581496480901,3.62538086860989,0.0135669362508484,"C9005"
268.47539732,260.178249505858,276.618202613359,4.2181819597323,0.0157116145532865,"C9007"
250.188347520519,241.872032543364,257.97748221171,4.09878583056113,0.0163828006826936,"C10003"
259.840815293935,250.998141353551,269.505819091723,4.74485490276994,0.0182606219788931,"C11001"
242.546895314524,235.46197358631,250.007560209276,3.66953876613758,0.0151291928984664,"C12011"
218.231582402126,210.975760969072,225.654219260318,3.74609926666043,0.0171657063813873,"C12039"
244.02794062365,234.870848850301,252.356762651569,4.39592246448166,0.0180140128759322,"C12057"
215.436830098185,204.388743035628,225.541102315479,5.39154766213944,0.0250261186060074,"C12086"
246.041138137945,239.025051946994,254.137262993014,3.85013546879567,0.0156483403463898,"C12095"
254.08864685614,245.72523407979,261.751173189632,4.10264754328274,0.0161465204921398,"C12103"
245.229904882266,236.216474257913,253.174114136486,4.31982756149695,0.0176154191454378,"C12127"
227.997396581745,220.888183287961,235.377281385577,3.68528759125203,0.0161637266324255,"C13021"
221.72971128669,212.470429087737,230.021888000894,4.43330164165721,0.0199941704516319,"C13035"
243.671087573919,234.491187790131,252.157604484087,4.41906599361772,0.018135372717443,"C13051"
251.937091390221,243.138568292774,260.102191524835,4.27160554686362,0.0169550482753149,"C13077"
244.234821735888,236.098871672938,252.578248085539,4.24026567175436,0.0173614296340582,"C13089"
255.02499590796,246.451956639847,263.300889351559,4.26847189447822,0.0167374648092093,"C13121"
236.891819493554,229.358346748701,244.356786377023,3.74714014888313,0.0158179381495489,"C13129"
230.516504021302,220.100607776027,240.081778653385,5.01276389173377,0.0217457917515118,"C13149"
234.088925521205,224.430543389451,242.912616122127,4.59700507712794,0.0196378579930366,"C13171"
232.052939314657,223.723435689234,240.689494049666,4.36115412536705,0.0187937896337243,"C13213"
216.70810982991,205.996698550373,226.948717196905,5.33485241645023,0.0246176869921363,"C13319"
261.431501869675,252.543411006042,269.989509051456,4.40077458406908,0.0168333752917921,"C15003"
246.540751235127,236.604504059086,255.695025679567,4.73843781968107,0.0192196940909051,"C17013"
243.565342056142,236.477735738147,250.471736395646,3.57482451134229,0.0146770656332472,"C17031"
269.004745637189,260.337861791204,276.988950235308,4.28630091468948,0.0159339230411588,"C17043"
246.168670918985,238.445340198161,254.029377286402,3.99126732407807,0.0162135470333331,"C17075"
259.576388586606,252.791262820741,267.186362377406,3.64459228380026,0.0140405385237273,"C17083"
263.077599793091,254.123696090604,270.966494309226,4.30737795065445,0.0163730319648734,"C17113"
260.776693084048,251.78252826069,270.028722641329,4.53492475836,0.0173900692762386,"C17129"
259.801846792043,252.527714069923,266.846302891495,3.53780805516098,0.0136173322046968,"C17167"
258.815841855308,250.541813912436,267.091477783126,4.18699434677002,0.0161775041154968,"C17197"
247.585408105526,239.692978254943,255.717262521967,4.06473158755092,0.016417492527744,"C17201"
239.036924057866,231.657417456238,246.313832442893,3.71289039422143,0.0155327065425366,"C18041"
243.978811232364,236.527736904723,251.423726012656,3.81378220652191,0.0156316123816575,"C18097"
241.329202089939,232.410534071344,250.200244187506,4.44915228421971,0.0184360294804339,"C18139"
266.086875840935,258.294961016777,274.604796620567,4.0849189118484,0.0153518240948131,"C19153"
253.276699843229,245.434797786917,260.735812586749,3.92104536797265,0.0154812715516258,"C20191"
221.396099925291,212.293597896352,230.598876036134,4.5907963543244,0.0207356694895418,"C20209"
252.017359171956,244.037508795664,260.088609302511,4.12546016905402,0.0163697460468949,"C21005"
232.396268638287,224.101029532115,241.177002440785,4.37045932218774,0.0188060649501655,"C21053"
