"mean","CI.lower","CI.upper","RMSE","CV","ID"
0.409848008539522,0.358371777311818,0.462489629909893,0.02677639836914,0.065332508176767,"C1057"
0.39312865523099,0.342336786762254,0.446915517197525,0.0262417741305942,0.0667511100537186,"C1093"
0.296766595397653,0.241882320295524,0.346897813857773,0.0269011028392609,0.0906473412319696,"C2020"
0.361426717065326,0.29633517548711,0.417546058027532,0.0309360195171815,0.0855941690430981,"C2170"
0.308927175355811,0.261601659169937,0.363569497275537,0.0258080180227142,0.0835407826876657,"C4013"
0.339381090930877,0.293122150272617,0.38587203311267,0.02350236530846,0.0692506622687674,"C5007"
0.352403802170293,0.304689041071453,0.400061620459679,0.0241405752053719,0.0685025957628754,"C5045"
0.23772320936458,0.199180149109318,0.27731751672371,0.019898144829292,0.0837029959442267,"C6001"
0.290943890869991,0.236192610850829,0.341840740685311,0.0267624198642257,0.0919848146121912,"C6029"
0.254877010872205,0.216622357046896,0.292985879954382,0.0191993499148303,0.075327899715745,"C6037"
0.229656636093911,0.190996489954784,0.264933819216729,0.0188609164925878,0.082126590432489,"C6059"
0.293000972557977,0.24801047358425,0.336578842866433,0.0226374267234211,0.0772605856075845,"C6065"
0.270093231119382,0.229501118780301,0.309283662523699,0.0200814163940858,0.0743499432061285,"C6067"
0.243025596217331,0.203217600675886,0.281895006334574,0.0197777322550044,0.0813812724373186,"C6073"
0.29672747336925,0.251759136914737,0.339724781836071,0.022582071204787,0.0761037424286146,"C6077"
0.218715623322303,0.176259007700732,0.261064661478925,0.0217371730400097,0.0993855523890831,"C6081"
0.234971874221287,0.190264955105885,0.278802956656325,0.0221277358628247,0.094171849018771,"C6083"
0.212132962231458,0.171219531443897,0.254557798475556,0.0210731031596762,0.0993391264516608,"C6085"
0.297434517636166,0.251460890241902,0.352677580022905,0.0258315513218871,0.0868478599161289,"C8005"
0.227912217764437,0.175937774265453,0.287581644422037,0.0289335566743505,0.126950441525936,"C8035"
0.283265878774642,0.231839740498419,0.340594343695513,0.0278641530662848,0.098367488476975,"C8069"
0.313446893701672,0.258833540397535,0.366096920899584,0.0265224993545748,0.0846156075798218,"C9003"
0.333171068567795,0.280956875535937,0.383987881483494,0.0259338791793715,0.0778395293770665,"C9005"
0.317059157667409,0.267687870047604,0.367933822984224,0.0252091450280123,0.0795092790048234,"C9007"
0.337313403248902,0.291977045047381,0.383879464201137,0.0234132911773866,0.0694110905522187,"C10003"
0.249988994341615,0.198158105420357,0.30173208342004,0.0262772885276658,0.105113781496146,"C11001"
0.337266123117802,0.2901233859732,0.383810082426179,0.0235483624421225,0.0698213097254876,"C12011"
0.405539600243787,0.353940726022841,0.456658550446122,0.0259239537685721,0.063924592698193,"C12039"
0.32433410549424,0.280234733100986,0.367355490176733,0.021663599041922,0.0667940826294222,"C12057"
0.324389506850013,0.254069415323137,0.391603800457528,0.034988255916229,0.107858778343303,"C12086"
0.316182685761318,0.27295549077437,0.358303419670215,0.0217250192351726,0.0687103380846493,"C12095"
0.344859567413915,0.304912932542125,0.386248105988301,0.0206719770855529,0.0599431740884298,"C12103"
0.379002591303576,0.334741191983534,0.424668938524578,0.0226675850778704,0.0598085226802947,"C12127"
0.388691215512913,0.338600462726827,0.440758725187874,0.0260164203490413,0.0669333890520533,"C13021"
0.453701011131126,0.400246345375659,0.508631275311736,0.0273300748081684,0.0602380733955861,"C13035"
0.336183195399285,0.289933974121488,0.385292924807728,0.0243784970255318,0.0725155134437266,"C13051"
0.358322745625131,0.319147251687263,0.401630537269588,0.0206012715913527,0.0574936194893563,"C13077"
0.313515020854946,0.263195687528467,0.367730301039055,0.0268476977692848,0.0856344863352063,"C13089"
0.282226445971064,0.235332819374562,0.331578193210286,0.0242377612788738,0.0858805460114777,"C13121"
0.390804347663517,0.340268074103168,0.441732731407233,0.0259627053847963,0.0664340239304354,"C13129"
0.47590666224445,0.425695534507624,0.530011187935011,0.026053394954819,0.0547447577891579,"C13149"
0.424596920012985,0.375904854918606,0.472536498623157,0.0244504005045821,0.057584969066272,"C13171"
0.41290481384358,0.341668565734203,0.485259563185171,0.0371001674244768,0.0898516224093512,"C13213"
0.508322209136811,0.437577437278323,0.578596823076641,0.0364149051470758,0.0716374466677591,"C13319"
0.297832506451277,0.245838389317511,0.34692132616701,0.025699927110361,0.0862898661283815,"C15003"
0.440971386138371,0.386653493176756,0.496306371844555,0.0282355828035244,0.0640304194128924,"C17013"
0.30014462229729,0.26045729305843,0.341629175363994,0.0205690904548116,0.0685305980076436,"C17031"
0.256980299872595,0.214848881843595,0.301775558349892,0.0219991456122221,0.08560635046005,"C17043"
0.420992929299207,0.373817063678573,0.469383249475476,0.0244663211647366,0.0581157531682627,"C17075"
0.384626649710833,0.340527555801523,0.429260314564747,0.0221357783079138,0.0575513379651559,"C17083"
0.30299097444693,0.256514998300302,0.348697875845288,0.0238108767487313,0.0785860925137949,"C17113"
0.368869807576636,0.324172850435817,0.416326489654765,0.0230920119571131,0.0626020657771388,"C17129"
0.325161732444783,0.283476756885491,0.367316533365606,0.0213952641949002,0.0657988381167621,"C17167"
0.3140139219373,0.269265782145618,0.359821341420428,0.0230616771437739,0.0734415754610354,"C17197"
0.352798337873325,0.311972406912046,0.393042808772231,0.0206265677489026,0.058465603532148,"C17201"
0.448578778587043,0.399697344410612,0.49733293246172,0.0249726157820315,0.0556705242737776,"C18041"
0.336919475159913,0.291349279665001,0.380910668010362,0.0224346527148891,0.0665875806206836,"C18097"
0.458499145530531,0.40109706172005,0.514487525882335,0.0293025534545204,0.0639097231481518,"C18139"
