"mean","CI.lower","CI.upper","RMSE","CV","ID"
0.361214016913711,0.302192479581911,0.408129095064226,0.0292126521603212,0.0808735286906092,"C1057"
0.36032212701913,0.30875218481268,0.411642871819699,0.0253144809955538,0.0702551386587752,"C1093"
0.34802210238533,0.294547479548213,0.404323694079105,0.0271201315279162,0.0779264631241403,"C2020"
0.398830881875609,0.338427659148958,0.465251582936695,0.0305530292525795,0.0766064781866833,"C2170"
0.297994050418523,0.251516506876176,0.351078712292194,0.0243832914013619,0.0818247591423935,"C4013"
0.350607186314683,0.307659151992538,0.401128285939468,0.023922408320071,0.0682313690472954,"C5007"
0.35021572781783,0.300287920630228,0.398234854905962,0.0241310066376098,0.0689032636768441,"C5045"
0.260566524964887,0.213192253282561,0.301348182298114,0.022465656442279,0.0862185057935066,"C6001"
0.257489327273975,0.205922722632767,0.306944311285592,0.0243139460273903,0.0944270051298851,"C6029"
0.248991033802705,0.209858295730363,0.281887618142336,0.0184013153214181,0.0739035259237443,"C6037"
0.259359053341306,0.218180945718716,0.295984080718916,0.0191257860708117,0.0737425041633035,"C6059"
0.294853539915736,0.246341748900653,0.339244553864675,0.0238474776016226,0.0808790615450566,"C6065"
0.283234379523406,0.233312171622619,0.320687510243244,0.0253438484695887,0.0894801277734518,"C6067"
0.269954829995443,0.226606896482024,0.310179924294493,0.0201432044447125,0.0746169440459818,"C6073"
0.287316496705134,0.236484631120931,0.329881880394144,0.0241614141323083,0.0840933758046778,"C6077"
0.266168421836004,0.21151889714468,0.306702264686138,0.0248256482708432,0.0932704492125636,"C6081"
0.242344400085387,0.196899650006212,0.285070743509444,0.0213824511402087,0.0882316700228058,"C6083"
0.25077112213931,0.202423464670843,0.290878126871994,0.0243938047368777,0.0972751747839861,"C6085"
0.310158279147254,0.261614041478791,0.356198075045362,0.0232307275191349,0.0748995886326337,"C8005"
0.284902518295288,0.218322685842393,0.335448449532868,0.0292622688277774,0.10270975842147,"C8035"
0.311193166976321,0.252845899882852,0.35536310879015,0.0270590552099944,0.0869526007685553,"C8069"
0.313430167251011,0.265039165980819,0.369969576030769,0.0267410914979959,0.0853175421259953,"C9003"
0.359333232374481,0.315309566645983,0.415697702239062,0.0256869924461792,0.0714851567622595,"C9005"
0.351929521397957,0.303284081744032,0.401418375401066,0.0241472960472028,0.0686140109851636,"C9007"
